x,y
9.895071026288573268e-01,-1.005099458983369290e-03
9.910546599574902027e-01,-1.091149377727097672e-03
9.924798361700553073e-01,-1.170288913238922649e-03
9.937822760827619284e-01,-1.242467179886501015e-03
9.949616551002785636e-01,-1.307661076865994148e-03
9.960176792966288772e-01,-1.365869929324325200e-03
9.969500854884438823e-01,-1.417110180725410186e-03
9.977586413005530286e-01,-1.461410258557343514e-03
9.984431452238966553e-01,-1.498805730561769689e-03
9.990034266657467077e-01,-1.529334861331904920e-03
9.994393459922217282e-01,-1.553034669526381396e-03
9.997507945630869086e-01,-1.569937574283453022e-03
9.999376947588286546e-01,-1.580068705935516000e-03
1.000000000000000000e+00,-1.583443941096751009e-03
